,0
MELTF,0.49371117
CCNB1,0.47733676
PLOD2,0.3510052
BMP7,0.30210802
SCUBE2,0.29265606
CD99,0.28644618
ATP13A4,0.28233194
TMPRSS2,0.27223212
MALL,0.24341804
CXCL14,0.20062956
CFTR,0.19390807
NIBAN1,0.18999308
RASGRF1,0.18130328
GGTLC1,0.17335528
ANLN,0.15177463
SC5D,0.137365
PRRX2,0.13721907
LBR,0.12972467
CYP4F11,0.12908088
CDK6,0.1265521
ELOVL6,0.115351506
UCK2,0.11351023
CPM,0.111596145
TMEM125,0.11053686
C16orf89,0.10647635
PLEK2,0.10188449
MX2,0.100550234
LFNG,0.10039073
TSPAN31,0.09640411
LAMB3,0.09421117
CCND3,0.093193054
UBE2T,0.08768715
FOXA2,0.07110859
DPP4,0.06972241
SRD5A1,0.06858455
CENPV,0.065212935
PLAAT4,0.060372185
SLC38A1,0.057149716
RNASE1,0.057142694
PKIA,0.05632851
RNF128,0.05489303
AQP5,0.054189548
SLC4A4,0.051494274
SIPA1L2,0.051020678
NUDT8,0.050459385
CACHD1,0.049733993
SORBS2,0.049273074
PTK6,0.04391834
SFTPB,0.043630272
RASL11A,0.04230429
SFTA3,0.04205907
VSIG2,0.040653013
PDE4D,0.040262
TIMM50,0.037711848
LGALS4,0.036357045
SPAG4,0.03194849
PHGDH,0.031408317
TMEM98,0.030970259
ALPL,0.030001588
SHE,0.029973593
SLC5A3,0.025670411
UBE2E3,0.024493229
SFTPC,0.023592941
ZNF626,0.02326462
PEG10,0.018108515
RHOQ,0.01772544
TSPYL5,0.017403854
SCIN,0.016594298
TESC,0.016032962
SNTA1,0.015923668
SLC26A4,0.015602336
SPTB,0.015583679
WIF1,0.014857254
ZNF486,0.014447812
RET,0.013771225
SOX9,0.013140132
S100A14,0.012830011
SLC12A2,0.012185723
SLC35E3,0.0118972305
EGFR,0.011007458
TMEM163,0.010626394
QPCT,0.01004975
PTGR1,0.009784895
PLAAT3,0.0090751825
S100A10,0.009073254
SPDEF,0.009032244
TUSC3,0.008696594
SMIM1,0.008602224
PROS1,0.0078998
TMEM150C,0.0075670076
TRNP1,0.0066505373
SRD5A3,0.0065396037
TFF3,0.0065055303
SESN3,0.006249187
SULT2B1,0.006016633
UNC5CL,0.0059318813
PRSS22,0.0059045595
SGMS1,0.005655699
STK26,0.005417599
TREM1,0.0043812715
SNX21,0.0038972038
SEC61G,0.0
SCN9A,0.0
SCNN1B,0.0
SEC11C,0.0
ROS1,0.0
RNF39,0.0
S100A6,0.0
RETREG1,0.0
RDH10,0.0
PLCB4,0.0
PGM2,0.0
SFTPD,0.0
SLC22A3,0.0
SHISA3,0.0
SLC34A2,0.0
SNHG19,0.0
SYT7,0.0
STUM,0.0
SRPX2,0.0
STMN1,0.0
TF,0.0
TFPI2,0.0
TFPI,0.0
TNNT1,0.0
TNS4,0.0
TOX3,0.0
TMEM243,0.0
TRPM4,0.0
UBE2C,0.0
UNC13B,0.0
WDR72,0.0
XDH,0.0
